Product_Title , Price
Gigabyte GeForce GTX 1660 SUPER OC 6G Graphics Card,0 ,Techland
ZOTAC GAMING GeForce GTX 1650 SUPER Twin Fan Graphics Card,0 ,Techland
XFX AMD Radeon RX 5700 XT THICC II Ultra 8GB GDDR6 Graphics Card,43500 ,Techland
GALAX GeForce RTX 2070 Super EX (1-Click OC) 8GB GDDR6 Graphics Card,51000 ,Techland
GALAX GeForce RTX 2060 Super EX (1-Click OC) 8GB GDDR6 256-bit Graphics Card,38500 ,Techland
GALAX GeForce RTX 2060 Super (1 Click OC) 8GB GDDR6 256-bit Graphics Card,35500 ,Techland
Colorful GeForce GTX 1660 SUPER 6G-V Graphics Card,21500 ,Techland
Colorful GeForce GTX 1660 SUPER NB 6G-V Graphics Card,19999 ,Techland
Colorful iGame GeForce GTX 1660 SUPER Ultra 6G-V Graphics Card,22500 ,Techland
MSI Radeon RX 5700 XT GAMING X Graphics Card,0 ,Techland
MSI GeForce RTX 2080 SUPER VENTUS XS OC Graphics Card,80000 ,Techland
MSI GeForce RTX 2070 SUPER VENTUS OC Graphics Card,58000 ,Techland
MSI GeForce RTX 2060 SUPER GAMING X Graphics Card,49000 ,Techland
ZOTAC GAMING GeForce GTX 1660 Super Twin Fan Graphics Card,26000 ,Techland
ZOTAC GAMING GeForce GTX 1660 Super AMP 6GB GDDR5 Graphics Card,28000 ,Techland
ASUS TUF Gaming X3 AMD Radeon RX 5700 XT Overclocked 8G Gaming Graphics Card (TUF 3-RX5700XT-O8G-GAMING),48500 ,Techland
XFX Radeon RX 560 1196MHz 4gb GDDR5 AMD Graphics Card,10200 ,Techland
Gigabyte GeForce RTX 2070 SUPER WINDFORCE OC 8G Graphics Card,54000 ,Techland
GIGABYTE GeForce RTX 2060 SUPER WINDFORCE OC 8G Graphics Card,42500 ,Techland
Colorful GeForce RTX 2060 6G V2-V Graphics Card,30500 ,Techland
SAPPHIRE NITRO Plus RX 5700 XT 8G GDDR6 Gaming Graphics Card,46500 ,Techland
MSI AMD RADEON RX 5700 MECH OC GAMING GRAPHICS CARD,39000 ,Techland
Asus Dual Geforce Rtx 2060S 8g Evo Graphics Card,44500 ,Techland
Asus Turbo Geforce Rtx 2070s 8g Evo Graphics Card,59800 ,Techland
Asus Rog Strix Geforce Rtx 2060s 8g Gaming Graphics Card,50000 ,Techland
Asus Rog Strix Geforce Rtx 2080s O8g Gaming Graphics Card,92500 ,Techland
Msi Geforce Rtx 2060 Super Ventus Oc Graphics Card,47000 ,Techland
Asus Tuf3 Geforce Gtx 1660 6g Gaming Graphics Card,27500 ,Techland
ZOTAC GAMING GeForce RTX 2080 SUPER AMP Extreme 8GB GDDR6 Graphics Card,80000 ,Techland
ZOTAC GAMING GeForce RTX 2080 SUPER Twin Fan 8GB GDDR6 Graphics Card,74000 ,Techland
ZOTAC GAMING GeForce RTX 2060 SUPER AMP Extreme Graphics Card,47000 ,Techland
Zotac Gaming Geforce Rtx 2070 Super Amp Extreme Graphics Card,57000 ,Techland
GIGABYTE GeForce RTX 2080 SUPER GAMING OC 8G Graphics Card,77000 ,Techland
GIGABYTE AORUS GeForce RTX 2080 Super 8G Graphics Card,82500 ,Techland
GIGABYTE GeForce RTX 2070 SUPER GAMING OC 8G GRAPHICS CARD,55000 ,Techland
GIGABYTE GeForce RTX 2060 SUPER GAMING OC 8G GRAPHICS CARD,44000 ,Techland
GIGABYTE AORUS GeForce RTX 2060 Super 8G Graphics Card,46000 ,Techland
ZOTAC GAMING GeForce GTX 1650 AMP GDDR5 Super Compact 4K Ready 70mm Twin Fan OC Scanner​ Graphics Card,15500 ,Techland
Colorful iGame GeForce RTX 2080 Super Vulcan X OC Graphics Card,75000 ,Techland
GIGABYTE Radeon RX 5700 XT GAMING OC 8G Graphics Card,43000 ,Techland
XFX Radeon Rx 5700 XT 8GB GDDR6 AMD Graphics Card,41300 ,Techland
XFX Radeon Rx 5700 8GB GDDR6 AMD Graphics Card,35800 ,Techland
SAPPHIRE PULSE RX 5700 8G GDDR6 GRAPHICS CARD,38500 ,Techland
SAPPHIRE PULSE RX 5700XT 8G GDDR6 GRAPHICS CARD,44800 ,Techland
Colorful GeForce RTX 2060 SUPER 8G Limited-V GRAPHICS CARD,39000 ,Techland
Colorful iGame GeForce RTX 2060 SUPER Ultra-V GRAPHICS CARD,40000 ,Techland
Colorful GeForce RTX 2070 SUPER 8G-V GRAPHICS CARD,47000 ,Techland
Colorful iGame GeForce RTX 2070 SUPER Advanced OC-V GRAPHICS CARD,49999 ,Techland
Colorful iGame GeForce RTX 2070 SUPER Vulcan X OC-V GRAPHICS CARD,53999 ,Techland
MSI GeForce RTX 2070 SUPER GAMING X TRIO Graphics Card,63900 ,Techland
ZOTAC GAMING GeForce RTX 2070 SUPER Twin Fan Graphics Card,52500 ,Techland
SAPPHIRE PULSE RADEON RX 580 GRAPHICS CARD,20500 ,Techland
SAPPHIRE PULSE RX 590 8G G5 GRAPHICS CARD,22600 ,Techland
ZOTAC GeForce RTX 2080 8GB GDDR6 GAMING GRAPHICS CARD,63500 ,Techland
ZOTAC GeForce RTX 2070 MINI 8GB GDDR6 GAMING GRAPHICS CARD,53300 ,Techland
ZOTAC GEFORCE RTX 2060 SUPER MINI 8GB OF GDDR6 GAMING GRAPHICS CARD,42700 ,Techland
ZOTAC GEFORCE RTX 2060 SUPER AMP 8GB GDDR6 GAMING GRAPHICS CARD,45000 ,Techland
SAPPHIRE AMD Radeon RX 5700 XT Graphics Card,41000 ,Techland
SAPPHIRE AMD Radeon RX 5700 Graphics Card,35000 ,Techland
Asus Rog Strix RX570 OC edition 4GB GDDR5 Graphics Card,21800 ,Techland
ZOTAC GAMING GeForce RTX 2080 Ti AMP Extreme Core Graphics Card,118000 ,Techland
GIGABYTE GeForce RTX 2060 OC 6GB Graphics Card,36500 ,Techland
MSI GeForce RTX 2070 VENTUS 8GB Graphics Card,55900 ,Techland
Gigabyte GeForce GTX 1660 Ti GAMING OC 6G Graphics Card,30500 ,Techland
Gigabyte GeForce RTX 2070 GAMING OC WHITE 8G GDDR6 Graphics Card,56700 ,Techland
Colorful iGame GeForce RTX 2080 Ti Kudan 11GB Graphics Card,205000 ,Techland
Colorful GeForce GTX 1650 NB 4G-V Graphics Card,13999 ,Techland
ASUS Dual GeForce® GTX 1660 Ti OC edition 6GB GDDR6 Graphics Card,31000 ,Techland
GIGABYTE Radeon RX 570 Gaming 8G MI Graphics Card,14000 ,Techland
MSI Radeon RX 570 ARMOR 4G OC Graphics Card,12900 ,Techland
MSI Radeon RX 570 ARMOR 8G OC Graphics Card,15800 ,Techland
GIGABYTE Radeon RX 580 Gaming 8G MI Graphics Card,15000 ,Techland
GALAX GeForce GTX 1650 EX (1-Click OC) 4GB GDDR5 Graphics Card,15000 ,Techland
Gigabyte GeForce RTX 2080 Ti WINDFORCE OC 11G GDDR6 Graphics Card,106000 ,Techland
Colorful iGame GeForce RTX 2060 Advanced OC Graphics Card,37000 ,Techland
ASUS Radeon VII 16GB HBM2 AMD Graphics Card,76000 ,Techland
SAPPHIRE NITRO+ Radeon RX 580 4GB DDR5 Graphics Card,19500 ,Techland
GALAX GeForce GTX 1660 EX (1-Click OC) 6GB GDDR5 Graphics Card,21200 ,Techland
MSI GeForce GTX 1650 VENTUS XS 4G OC Graphics Card,16500 ,Techland
MSI GeForce GTX 1650 GAMING X 4G Graphics Card,18300 ,Techland
SAPPHIRE  RADEON VII 16G HBM2 HDMI TRIPLE DP (UEFI) Graphics Card,71500 ,Techland
Sapphire RX 590 Nitro+ OC Amd 50 Gold Edition 8GB Graphics Card,24300 ,Techland
SAPPHIRE PULSE RADEON RX 570 8G GDDR5 Graphics Card,15600 ,Techland
Colorful iGame GeForce GTX 1660 Ultra 6G Graphics Card,22500 ,Techland
GIGABYTE GeForce GTX 1650 OC 4G Graphics Card,17200 ,Techland
GIGABYTE GeForce GTX 1650 WINDFORCE OC 4G Graphics Card,18600 ,Techland
GIGABYTE GeForce GTX 1650 GAMING OC 4G RGB Graphics Card,20400 ,Techland
ZOTAC GAMING GeForce GTX 1650 OC Graphics Card,14500 ,Techland
ZOTAC GAMING GeForce RTX 2080 Ti Twin Fan 11GB Graphics Card,91500 ,Techland
ZOTAC GAMING GeForce RTX 2070 AMP Extreme Graphics card,54000 ,Techland
ZOTAC GAMING GeForce RTX 2070 OC MINI Graphics card,48999 ,Techland
ZOTAC GAMING GeForce RTX 2070 MINI Graphics card,43300 ,Techland
Gigabyte GeForce GTX 1660 GAMING OC 6G Graphics Card,27500 ,Techland
Gigabyte GeForce GTX 1660 OC 6G Graphics Card,22300 ,Techland
MSI GeForce GTX 1660 VENTUS XS 6G OC Graphics card,23500 ,Techland
MSI GeForce GTX 1660 GAMING X 6G Graphics Card,25800 ,Techland
ZOTAC GeForce GTX 1660 AMP 6GB GDDR5 Gaming Graphics card,23500 ,Techland
MSI GeForce GTX 1660 Ti VENTUS XS 6G OC Graphics card,28200 ,Techland
MSI GeForce RTX 2060 VENTUS XS 6G OC V1 Graphics Card,37999 ,Techland
MSI GeForce RTX 2080 VENTUS 8G V2 Gaming Graphics Card,77500 ,Techland
CoolerMaster Vertical Graphics Card Holder Kit,3800 ,Techland
XFX AMD Radeon RX 570 RS 8GB XXX Edition Graphics Card,15800 ,Techland
Gigabyte GeForce GTX 1660 Ti WINDFORCE OC 6G Graphics Card,29300 ,Techland
Gigabyte GeForce GTX 1660 Ti OC 6G Graphics Card,28300 ,Techland
Colorful GeForce GTX 1660 6G Graphics Card,20700 ,Techland
Msi GeForce GT 1030 2GB GDDR4 OC Graphics Card,7500 ,Techland
ZOTAC GeForce GTX 1660 6GB GDDR5 GAMING Graphics Card #ZT-T16600F-10L,21000 ,Techland
ZOTAC GeForce GTX 1660 Ti AMP 6GB GDDR6 GAMING Graphics Card,29500 ,Techland
Gigabyte AORUS GeForce RTX 2070 XTREME 8GB GDDR6 Graphics Card,63500 ,Techland
GIGABYTE AORUS GeForce RTX 2080 Ti XTREME 11G Graphics Card,116000 ,Techland
GIGABYTE GeForce RTX 2070 Windforce 8G Graphics Card,52000 ,Techland
GIGABYTE GeForce RTX 2060 GAMING OC PRO 6G Graphics Card,38200 ,Techland
MSI GeForce RTX 2080 Ti LIGHTNING Z 11GB Graphics Card,159000 ,Techland
Asus ROG STRIX GeForce GTX 1660TI A6G 6GB GDDR6 Graphics Card,34800 ,Techland
MSI GeForce GTX 1660 Ti VENTUS XS 6G Graphics Card,28500 ,Techland
MSI GeForce GTX 1660 Ti GAMING X 6G Graphics Card,31800 ,Techland
XFX RX 580 GTS XXX Edition 8GB DDR5 Graphics Card,22000 ,Techland
ZOTAC GeForce RTX 2080 AMP 8GB GDDR6 GAMING Graphics Card,66000 ,Techland
ZOTAC GeForce RTX 2070 SUPER AMP 8GB GDDR6 GAMING Graphics Card,55000 ,Techland
ZOTAC GeForce GTX 1660 Ti 6GB GDDR6 GAMING Graphics Card,27000 ,Techland
ASUS Turbo GeForce RTX 2060 6GB GDDR6 Graphics Card,41800 ,Techland
ASUS Dual GeForce RTX 2060 OC Edition 6GB GDDR6 Graphics Card,46900 ,Techland
ASUS ROG Strix GeForce RTX™ 2060 6GB GDDR6 GAMING Graphics Card,51000 ,Techland
Colorful GeForce GTX 1660 Ti 6G Graphics Card,25500 ,Techland
Colorful iGame GeForce GTX 1660 Ti Ultra 6G Graphics Card,27500 ,Techland
MSI GeForce RTX 2060 VENTUS XS 6G Graphics Card,37900 ,Techland
MSI GeForce RTX 2070 ARMOR 8G OC Graphics Card,64300 ,Techland
MSI GeForce RTX 2070 GAMING Z 8G Graphics Card,66799 ,Techland
MSI GeForce RTX 2080 GAMING X TRIO Graphics Card,94800 ,Techland
MSI GeForce RTX 2080 Ti GAMING X TRIO Graphics Card,140000 ,Techland
GIGABYTE GeForce RTX 2060 WINDFORCE OC 6GB Graphics Card,36500 ,Techland
Colorful GeForce GT1030 2G V3 Graphics Card,6300 ,Techland
Colorful GeForce GTX1050 NB 3G Graphics Card,11500 ,Techland
Colorful iGame GeForce GTX 1050Ti Vulcan U 4G EC Graphics Card,14300 ,Techland
Colorful iGame GTX1060 Vulcan U 3G Graphics Card,19800 ,Techland
Colorful iGame GTX1060 Vulcan U 6G Graphics Card,24000 ,Techland
Colorful GeForce RTX 2070 8G Graphics Card,41200 ,Techland
Colorful GeForce RTX 2080 CH Graphics Card,63000 ,Techland
Colorful GeForce RTX 2080 Ti CH 11gb Graphics card,102000 ,Techland
Colorful iGame GeForce RTX 2080 Advanced OC Graphics Card,66000 ,Techland
Colorful iGame GeForce RTX 2080 Ti Advanced OC Graphics Card,112000 ,Techland
Colorful GeForce RTX 2060 6G Graphics Card,28500 ,Techland
Colorful iGame GeForce RTX 2060 Ultra OC Graphics Card,34500 ,Techland
ZOTAC GeForce RTX 2060 GAMING Graphics Card,33500 ,Techland
ZOTAC GeForce RTX 2060 AMP GAMING Graphics Card,36000 ,Techland
MSI Geforce RTX 2060 Gaming Z 6G Graphics Card,40999 ,Techland
ASUS ROG STRIX RX590 8GB GDDR5 GAMING Graphics Card,32000 ,Techland
Sapphire Nitro+ RX 590 Radeon Special edition 8GB GDDR5 Graphic Card (Black),22800 ,Techland
Zotac GeForce GT 710 2GB DDR3 Graphics Card,4350 ,Techland
Gigabyte AORUS GeForce RTX™ 2080 WINDFORCE OC 8G Graphics Card,78500 ,Techland
Gigabyte AORUS GeForce RTX 2070 XTREME 8G Graphics Card,63000 ,Techland
Gigabyte AORUS GeForce RTX™ 2080 XTREME 8G Graphics Card,85000 ,Techland
ASUS DUAL-RTX2070-O8G GeForce RTX™ 2070 OC edition 8GB GDDR6 Graphics Card,67000 ,Techland
Asus ROG Strix GeForce RTX 2080 Ti Advanced edition 11GB GDDR6 gaming Graphics Card,147500 ,Techland
SAPPHIRE PULSE RADEON RX 550 2GB Graphics Card,10000 ,Techland
SAPPHIRE PULSE RADEON RX 550 4G Graphics Card,11300 ,Techland
SAPPHIRE PULSE RADEON RX560 4G GDDR5 Graphics Card,12300 ,Techland
SAPPHIRE PULSE RADEON RX 570 4G GDDR5 HDMI DP GraphicsCard,13100 ,Techland
XFX Amd Radeon RX590 Fatboy 8GB OC DDR5 Graphics Card,27200 ,Techland
ZOTAC GeForce® GTX 1060 3GB AMP Edition Graphics card,19700 ,Techland
ZOTAC GeForce GTX 1060 AMP Edition,26900 ,Techland
ASUS ROG Strix GeForce RTX 2070 OC edition 8GB GDDR6 Graphics Card,72500 ,Techland
Gigabyte GT 1030 2GB OC Graphics card,8000 ,Techland
Sapphire Nitro+ Radeon RX 570 8GB GDDR5 Graphics Card,16899 ,Techland
Sapphire Nitro+ RX 590 Radeon Special edition 8GB GDDR5 Graphic Card,24400 ,Techland
GALAX GeForce RTX 2080 OC 8GB GDDR6 Graphics Card,79999 ,Techland
Asus Phoenix GeForce GT 1030 OC 2GB DDR4 Graphics Card #PH-GT1030-O2GD4,8800 ,Techland
Asus GeForce GT 710 2GB DDR5 Graphics Card,5800 ,Techland
GALAX GeForce® GTX 1050 Ti EXOC 4 GB DDR5 Graphics Card,19000 ,Techland
GALAX GeForce® GTX 1050 Ti OC DDR5 4 GB Graphics Card,18000 ,Techland
ASUS Radeon RX 580 Dual-fan OC Edition 8GB GDDR5 Graphics Card,26000 ,Techland
Afox Geforce GTX1050Ti 4GB Graphics card,16500 ,Techland
Asus Dual series Radeon RX 580 OC edition 4GB GDDR5 AMD Graphics Card,23000 ,Techland
ZOTAC GeForce GT 1030 2GB DDR5 64-bit Graphics Card,8200 ,Techland
SAPPHIRE NITRO+ Radeon RX 580 8GB DDR5 Graphics Card,22300 ,Techland
ZOTAC GeForce GTX 1050 Ti OC 4GB GDDR5 Gaming Graphics Card,16800 ,Techland
MSI GEFORCE® GTX 1050 TI 4GT OC Graphics Card,17800 ,Techland
Gigabyte GTX 710 1GB DDR3 Low Profile Graphics Card,3000 ,Techland
Zotac GeForce GTX 1060 6GB GDDR5 Graphics Card,27700 ,Techland
ZOTAC GeForce GT 730 2GB DDR-5 Graphics Card,5900 ,Techland
